name,birth_date,nationality,age,team,position,draft_pick,draft_year,college,NBA_championships,mvp_awards,olympic_gold_medals,FIBA_World_Cup,file
"Shawn Christopher Respert  ","1972-02-06  ","American  ",51,"  ","  ","8  ",1995,"Michigan State  ","0  ","0  ","0  ","0  ",Shawn_Respert
"Rodney Strickland  ","1966-07-11  ","American  ",57," "," ","19  ",1988,"DePaul University  ","0  ","0  ","0  ","0  ",Rod_Strickland
"Elmer H. Behnke  ","1929-02-03  ","American  ",94,"Milwaukee Hawks  ","  ","35  ",1951,"Bradley University  ","  ","0  ","  ","  ",Elmer_Behnke
"Lamar Brandon Stevens  ","1997-07-09  ","American  ",26,"Memphis Grizzlies  ","  ","  ",0,"Penn State Nittany Lions  ","0  ","0  ","0  ","0  ",Lamar_Stevens
"Ronald Moore  ","1988-07-14  ","American  ",35,"Debreceni EAC  ",guard,"  ",0,"Siena  ","0  ","0  ","0  ","0  ",Ronald_Moore
"Erazem Lorbek  ","1984-02-21  ","Slovenian  ",39,"  ",forward,"2  ",2005,"Michigan State University  ","0  ","0  ","0  ","0  ",Erazem_Lorbek
"Marvin ""Mickey"" Rottner  ","1919-03-23  ","American  ",104,"  ",guard,"  ",0,"Loyola University in Chicago  ","  ","0  ","0  ","0  ",Mickey_Rottner
"Hamidou Diallo  ","1998-07-31  ","American  ",25,"Capital City Go-Go  ","  ","45  ",2017,"University of Kentucky  ","0  ","0  ","0  ","1  ",Hamidou_Diallo
"Dewayne ""D. J."" White, Jr.",1986-08-31,,37,,forward,29,2008,Indiana Hoosiers,0,0,0,0,D_J_White
"Steve Kerr  ","1965-09-27  ","American  ",58,"Golden State Warriors  ","Coach  ","50  ",1988,"University of Arizona  ","9  ","0  ","0  ","1  ",Steve_Kerr
"Gregory Clinton Foster  ","1968-10-03  ","American  ",55,"Indiana Pacers  ",forward,"35  ",1990,"UTEP  ","1  ","0  ","0  ","0  ",Greg_Foster
"Bill Hewitt  ","1944-08-08  ","American  ",79,Los Angeles Lakers,forward,"  ",0,"University of Southern California  ","  ","0  ","  ","  ",Bill_Hewitt
"Joseph Xavier Forte  ","1981-03-23  ","American  ",42,"  ",guard,"21  ",2001,"University of North Carolina at Chapel Hill  ","0  ","0  ","0  ","0  ",Joseph_Forte
"Dino Rađa  ","1967-04-24  ","Croatian  ",56," ","center  ","40  ",1989," "," ","0  ","0  ","2  ",Dino_Rađa
"Mark Jeffrey Radford  ","1959-07-05  ","American  ",64,"Seattle SuperSonics  "," ","53  ",1981,"Oregon State University  ","0  ","0  ","0  ","0  ",Mark_Radford
Kostas Papanikolaou,1990-07-31,Greek,33,Olympiacos,forward,48,2012,,0,0,0,0,Kostas_Papanikolaou
"Garry Witts Garrett David Witts  ","1959-07-03  ","American  ",64,"Washington Bullets  "," "," ",0," ","0  ","0  ","0  ","0  ",Garry_Witts
"Jabari Dominic Walker  ","2002-07-30  ","American  ",21,"Portland Trail Blazers  "," ","57  ",2022,"Colorado  ","0  ","0  ","0  ","0  ",Jabari_Walker
"Devontae Cacok  ","1996-10-08  ","American  ",27,"Virtus Bologna  "," "," ",0,"UNC Wilmington  ","0  ","0  ","0  ","0  ",Devontae_Cacok
"Brandon Goodwin  ","1995-10-02  ","American  ",28,"Gigantes de Carolina  ",guard,"  ",0,"UCF Knights, Florida Gulf Coast Eagles  ","0  ","0  ","0  ","0  ",Brandon_Goodwin
"Dick Rosenthal  ","1933-01-20  ","American  ",91,"Fort Wayne Pistons  ",forward,"1  ",1954,"Notre Dame  ","  ","0  ","0  ","0  ",Dick_Rosenthal
"Jamal Crawford  ","1980-03-20  ","American  ",43," "," ","8  ",2000,"University of Michigan  ","0  ","0  ","0  ","0  ",Jamal_Crawford
"Jordan Lee Crawford  ","1988-10-23  ","American  ",35,"Sichuan Blue Whales  ","  ","27  ",2010,"Indiana University, Xavier University  ","0  ","0  ","0  ","0  ",Jordan_Crawford
"Tom Copa  ","1964-10-30  ","American  ",59," "," ","44  ",1987,"Marquette  ","0  ","0  ","0  ","0  ",Tom_Copa
"Kermit Washington  ","1951-09-17  ","American  ",72," ",forward,"5  ",1973,"American University  "," ","0  ","0  ","0  ",Kermit_Washington
"Donyell Marshall  ","1973-05-18  ","American  ",50,"Greensboro Swarm  "," ","4  ",1994,"University of Connecticut  "," ","0  "," "," ",Donyell_Marshall
Wayne Lavern Robinson,1930-01-14,American,85,Philadelphia Eagles,Linebacker,8,1952,University of Minnesota,,,,,Wayne_Robinson
"Greg Fillmore Gregory Paul Fillmore  ","1947-03-07  ","American  ",76,"New York Knicks  ","Center  ","8  ",1970,"Cheyney University of Pennsylvania  ","  ","0  ","  ","0  ",Greg_Fillmore
"John Harding Lucas II  ","1953-10-31  ","American  ",70,"Houston Rockets  ","Professional basketball coach and former player  ","1  ",1976,"University of Maryland  "," ","0  ","0  ","1  ",John_Lucas_II
"Dick Surhoff  ","1929-11-16  ","  ",57,"Milwaukee Hawks  ","  ","  ",1952,"Long Island, John Marshall College  ","  ","0  ","  ","  ","Dick_Surhoff "
"Garfield Smith  ","1945-11-18  ","American  ",78,"Boston Celtics  "," ","10  ",1968," "," ","0  "," "," ",Garfield_Smith
"Leroy Patrick Chollet  ","1925-03-05  ","American  ",98,"  ",guard,"  ",1949,"Loyola University New Orleans  ","0  ","0  ","0  ","0  ",Leroy_Chollet
"Michael Carter-Williams  ","1991-10-10  ","American  ",32,"Capitanes de Ciudad de México  "," ","11  ",2013,"Syracuse Orange  ","0  ","0  ","0  ","0  ",Michael_Carter-Williams
Dennis Schröder,1993-09-15,German,30,Brooklyn Nets,,17,2013,,,1,,1,Dennis_Schröder
"Jack Parr  ","1936-03-13  ","American  ",87,"Cincinnati Royals  ","  ","10  ",1958,"Kansas State University  ","  ","0  ","  ","  ",Jack_Parr
"Monti Davis DaMon William ""Monti"" Davis  ","1958-07-26  ","American  ",65,"Dallas Mavericks  ",forward,"21  ",1980,"Tennessee State University  ","  ","0  ","0  ","0  ",Monti_Davis
"Eric Johnson Jones  ","1966-02-07  ","American-Spanish  ",57,"Utah Jazz  "," "," ",0," ","0  ","0  ","0  ","0  ",Eric_Johnson
Sidney Harold Tanenbaum,1925-10-08,American,60,Baltimore Bullets,guard,,0,New York University,,0,0,0,Sid_Tanenbaum
